w1,w3,w5,gain_max_dB,pm,gbw
0.00025,0.00025,0.00025,122.453,87.8890965106336,71738121.45670725
0.0005,0.00025,0.00025,137.132,88.50340914246036,71812492.38834734
0.00075,0.00025,0.00025,111.432,88.77690494117356,71837299.8283637
0.001,0.00025,0.00025,105.676,88.94058875558919,71853842.88245049
0.00125,0.00025,0.00025,105.13,89.05227115078497,71853842.88245049
0.0015,0.00025,0.00025,114.461,89.13432910688908,71862115.83804572
0.00175,0.00025,0.00025,107.694,89.1990029623948,71862115.83804572
0.002,0.00025,0.00025,103.522,89.25036481773961,71870389.74615513
0.00225,0.00025,0.00025,106.801,89.2935316309113,71870389.74615513
0.0025,0.00025,0.00025,73.1281,89.34186210510902,71870389.74615513
0.00275,0.00025,0.00025,58.0273,89.43242355850222,71870389.74615513
0.003,0.00025,0.00025,52.0655,89.5302918078896,71862115.83804572
0.00325,0.00025,0.00025,48.1152,89.6375545902626,71853842.88245049
0.0035,0.00025,0.00025,45.1639,89.75011216308964,71845570.87925951
0.00375,0.00025,0.00025,42.7378,89.87108812601285,71845570.87925951
0.004,0.00025,0.00025,40.6352,90.00258848931625,71829029.72965258
0.00425,0.00025,0.00025,38.838,90.14154552294114,71820760.58301708
0.0045,0.00025,0.00025,37.1997,90.29215116631339,71812492.38834734
0.00475,0.00025,0.00025,35.7181,90.4523802948965,71804225.14553404
0.005,0.00025,0.00025,34.3918,90.62019659090403,71787693.51503815
0.00025,0.0005,0.00025,38.0637,87.75260142816947,100995029.41203211
0.0005,0.0005,0.00025,120.608,87.8890965106336,101461201.28695814
0.00075,0.0005,0.00025,113.419,88.27342957401449,101519623.86311442
0.001,0.0005,0.00025,121.096,88.50340914246036,101554693.55496955
0.00125,0.0005,0.00025,96.2353,88.66148478246615,101578080.07969007
0.0015,0.0005,0.00025,102.765,88.77690494117356,101589775.36155999
0.00175,0.0005,0.00025,110.231,88.86791684907733,101601471.98997651
0.002,0.0005,0.00025,109.793,88.94058875558919,101613169.96509466
0.00225,0.0005,0.00025,94.8486,89.00204796255258,101613169.96509466
0.0025,0.0005,0.00025,103.142,89.05227115078497,101624869.28706948
0.00275,0.0005,0.00025,119.351,89.09636790795251,101624869.28706948
0.003,0.0005,0.00025,125.078,89.13432910688908,101624869.28706948
0.00325,0.0005,0.00025,103.468,89.16820003799792,101636569.95605607
0.0035,0.0005,0.00025,69.3438,89.21851698460053,101624869.28706948
0.00375,0.0005,0.00025,57.3929,89.30278437823843,101624869.28706948
0.004,0.0005,0.00025,51.9934,89.39433540485707,101613169.96509466
0.00425,0.0005,0.00025,48.4461,89.49010136392053,101601471.98997651
0.0045,0.0005,0.00025,45.7114,89.59009559608118,101589775.36155999
0.00475,0.0005,0.00025,43.412,89.69949541049256,101578080.07969007
0.005,0.0005,0.00025,41.5077,89.81213076219717,101566386.14421172
0.00025,0.00075,0.00025,37.1284,87.18564804898199,123424108.79360522
0.0005,0.00075,0.00025,111.691,87.42185147239393,124136643.94960396
0.00075,0.00075,0.00025,108.836,87.8890965106336,124265336.4449436
0.001,0.00075,0.00025,108.506,88.16982930341918,124322575.92606428
0.00125,0.00075,0.00025,119.778,88.36087340215387,124365522.83881383
0.0015,0.00075,0.00025,106.701,88.50340914246036,124379841.77301115
0.00175,0.00075,0.00025,119.006,88.61352236595003,124408484.58746345
0.002,0.00075,0.00025,123.804,88.70334553715612,124422808.4680991
0.00225,0.00075,0.00025,100.479,88.77792702894672,124422808.4680991
0.0025,0.00075,0.00025,111.413,88.83927383435237,124437133.99792789
0.00275,0.00075,0.00025,94.3723,88.89452220312529,124437133.99792789
0.003,0.00075,0.00025,89.9764,88.9416127278528,124451461.17713869
0.00325,0.00075,0.00025,93.3191,88.98258128681087,124451461.17713869
0.0035,0.00075,0.00025,95.4354,89.01946912438471,124451461.17713869
0.00375,0.00075,0.00025,95.7779,89.05329640884712,124465790.00592192
0.004,0.00075,0.00025,71.5652,89.09739367370027,124465790.00592192
0.00425,0.00075,0.00025,58.4678,89.17743979825264,124451461.17713869
0.0045,0.00075,0.00025,52.9714,89.26372374378903,124437133.99792789
0.00475,0.00075,0.00025,49.376,89.35317726977499,124422808.4680991
0.005,0.00075,0.00025,46.6782,89.4447799579514,124422808.4680991
0.00025,0.001,0.00025,32.9265,87.14952010915451,142036512.40480122
0.0005,0.001,0.00025,35.8743,87.95995530272991,142724983.01648957
0.00075,0.001,0.00025,118.844,87.56690497990814,143383771.6055808
0.001,0.001,0.00025,106.911,87.8890965106336,143482851.82325903
0.00125,0.001,0.00025,121.605,88.10995917178316,143532417.60382953
0.0015,0.001,0.00025,116.611,88.27342957401449,143582000.50677088
0.00175,0.001,0.00025,122.992,88.40055670430016,143598531.94707826
0.002,0.001,0.00025,109.96,88.50340914246036,143631600.5379986
0.00225,0.001,0.00025,128.111,88.589040927265,143648137.6890487
0.0025,0.001,0.00025,98.5921,88.66148478246615,143648137.6890487
0.00275,0.001,0.00025,109.514,88.72275112462971,143664676.7441189
0.003,0.001,0.00025,143.152,88.77690494117356,143681217.7034278
0.00325,0.001,0.00025,102.636,88.82495578914929,143681217.7034278
0.0035,0.001,0.00025,96.3032,88.86791684907733,143681217.7034278
0.00375,0.001,0.00025,114.136,88.9057807121034,143697760.56719524
0.004,0.001,0.00025,101.033,88.94058875558919,143697760.56719524
0.00425,0.001,0.00025,91.0254,88.97336171603382,143697760.56719524
0.0045,0.001,0.00025,61.3451,89.05022067007164,143697760.56719524
0.00475,0.001,0.00025,54.9171,89.13022441385438,143681217.7034278
0.005,0.001,0.00025,50.9514,89.21543553940712,143664676.7441189
0.00025,0.00125,0.00025,32.6889,86.71814914536976,158489319.2461111
0.0005,0.00125,0.00025,34.901,87.72835783786911,159367588.102877
0.00075,0.00125,0.00025,144.122,87.28407222592651,160195384.80621764
0.001,0.00125,0.00025,129.018,87.64254897711446,160342998.17626044
0.00125,0.00125,0.00025,104.082,87.8890965106336,160416855.86078864
0.0015,0.00125,0.00025,141.407,88.07142027369031,160472271.4493169
0.00175,0.00125,0.00025,113.196,88.21348909448406,160509225.8096893
0.002,0.00125,0.00025,107.349,88.32832604918204,160546188.68009737
0.00225,0.00125,0.00025,102.263,88.4229500185674,160564673.3071772
0.0025,0.00125,0.00025,114.248,88.50340914246036,160583160.06250083
0.00275,0.00125,0.00025,110.806,88.57272372577754,160601648.94631335
0.003,0.00125,0.00025,111.984,88.63290830285233,160601648.94631335
0.00325,0.00125,0.00025,99.3941,88.68700728192067,160620139.95885983
0.0035,0.00125,0.00025,103.679,88.73398787876634,160620139.95885983
0.00375,0.00125,0.00025,92.0136,88.77792702894672,160638633.10038537
0.004,0.00125,0.00025,92.5102,88.81677508512696,160638633.10038537
0.00425,0.00125,0.00025,94.8216,88.85154828147786,160638633.10038537
0.0045,0.00125,0.00025,79.3817,88.88940517036487,160657128.37113506
0.00475,0.00125,0.00025,60.9276,88.96414310050537,160638633.10038537
0.005,0.00125,0.00025,55.0217,89.04201921934248,160620139.95885983
0.00025,0.0015,0.00025,33.363,86.20054268857074,173380399.7754141
0.0005,0.0015,0.00025,35.0851,87.3997116886225,174421493.15611768
0.00075,0.0015,0.00025,128.533,87.0302036962456,175367859.05100125
0.001,0.0015,0.00025,112.376,87.42084499692766,175549662.96212366
0.00125,0.0015,0.00025,113.599,87.68998585047578,175650746.56278527
0.0015,0.0015,0.00025,113.634,87.8890965106336,175731655.34941354
0.00175,0.0015,0.00025,108.577,88.04404761646754,175772123.71732515
0.002,0.0015,0.00025,101.57,88.16982930341918,175812601.40449643
0.00225,0.0015,0.00025,107.635,88.27342957401449,175853088.4130713
0.0025,0.0015,0.00025,96.4745,88.3618907001594,175873335.4135575
0.00275,0.0015,0.00025,140.228,88.43720326287368,175893584.74519923
0.003,0.0015,0.00025,116.353,88.50340914246036,175913836.40826562
